온실번호,측정라인,표본번호,조사일자,착과수,예측,오차
3,1,2,2024-11-11,0.0,0.0,0.0
3,1,2,2024-11-18,0.0,0.0,0.0
3,1,2,2024-11-25,3.0,0.7114636564362145,2.2885363435637855
3,1,2,2024-12-02,5.0,6.114942927033376,1.1149429270333764
3,1,2,2024-12-09,7.0,6.245810241245587,0.7541897587544133
3,1,2,2024-12-16,5.0,5.997303790931596,0.9973037909315963
3,1,2,2024-12-23,4.0,4.0510320579374195,0.051032057937419495
3,1,2,2024-12-30,4.0,3.396588472845302,0.603411527154698
3,1,2,2025-01-06,4.0,2.4767001797663193,1.5232998202336807
3,1,2,2025-01-13,4.0,4.7643444253540705,0.7643444253540705
3,1,2,2025-01-20,4.0,3.374177286636723,0.6258227133632772
3,1,2,2025-01-31,7.0,4.783503543991719,2.216496456008281
3,1,2,2025-02-03,7.0,5.742270958225228,1.2577290417747724
3,2,1,2024-11-01,0.0,0.49336427835535795,0.49336427835535795
3,2,1,2024-11-04,0.0,0.23085868923824443,0.23085868923824443
3,2,1,2024-11-11,0.0,0.0,0.0
3,2,1,2024-11-18,0.0,0.0,0.0
3,2,1,2024-11-25,3.0,0.6615710228788965,2.3384289771211035
3,2,1,2024-12-02,6.0,6.158013803398414,0.15801380339841398
3,2,1,2024-12-09,8.0,7.1586327304556265,0.8413672695443735
3,2,1,2024-12-16,6.0,6.301030261020587,0.3010302610205873
3,2,1,2024-12-23,5.0,4.600163567315301,0.39983643268469926
3,2,1,2024-12-30,3.0,3.8193565228481887,0.8193565228481887
3,2,1,2025-01-06,2.0,2.56903795901338,0.5690379590133801
3,2,1,2025-01-13,6.0,4.606036356680849,1.3939636433191511
3,2,1,2025-01-20,5.0,4.109776828493503,0.8902231715064968
3,2,1,2025-01-31,7.0,5.198163941561666,1.801836058438334
3,2,1,2025-02-03,6.0,5.645393410024677,0.35460658997532324
3,2,2,2024-11-01,0.0,0.49336427835535795,0.49336427835535795
3,2,2,2024-11-04,0.0,0.24509847743362906,0.24509847743362906
3,2,2,2024-11-11,0.0,0.0,0.0
3,2,2,2024-11-18,0.0,0.44851787916281005,0.44851787916281005
3,2,2,2024-11-25,2.0,1.0935324641510313,0.9064675358489687
3,2,2,2024-12-02,6.0,6.50451237087177,0.5045123708717698
3,2,2,2024-12-09,7.0,7.4172219816666685,0.41722198166666846
3,2,2,2024-12-16,6.0,5.666983625410101,0.3330163745898993
3,2,2,2024-12-23,4.0,4.545474503869865,0.5454745038698654
3,2,2,2024-12-30,3.0,3.304598855989041,0.3045988559890409
3,2,2,2025-01-06,1.0,2.580064663129138,1.580064663129138
3,2,2,2025-01-13,5.0,4.624127443081813,0.37587255691818733
3,2,2,2025-01-20,5.0,4.2330243821001305,0.7669756178998695
3,2,2,2025-01-31,6.0,5.082588924812339,0.917411075187661
3,2,2,2025-02-03,5.0,4.976957620535327,0.023042379464673246
3,3,1,2024-11-01,0.0,0.4439218215459084,0.4439218215459084
3,3,1,2024-11-04,0.0,0.11725528501783712,0.11725528501783712
3,3,1,2024-11-11,0.0,0.0,0.0
3,3,1,2024-11-18,0.0,0.0,0.0
3,3,1,2024-11-25,2.0,0.5766862025970219,1.4233137974029781
3,3,1,2024-12-02,6.0,6.4360685244676095,0.43606852446760946
3,3,1,2024-12-09,8.0,6.7091932234257365,1.2908067765742635
3,3,1,2024-12-16,6.0,6.2832632177488215,0.28326321774882146
3,3,1,2024-12-23,6.0,4.609601295284197,1.3903987047158033
3,3,1,2024-12-30,5.0,4.058925997510778,0.9410740024892217
3,3,1,2025-01-06,4.0,2.9838804380986086,1.0161195619013914
3,3,1,2025-01-13,5.0,4.955111679021475,0.04488832097852491
3,3,1,2025-01-20,5.0,3.5347170087956234,1.4652829912043766
3,3,1,2025-01-31,5.0,4.880449316677444,0.11955068332255614
3,3,1,2025-02-03,5.0,4.46496506777829,0.5350349322217101
3,3,2,2024-11-01,2.0,0.4439218215459084,1.5560781784540916
3,3,2,2024-11-04,1.0,2.717193395179463,1.717193395179463
3,3,2,2024-11-11,3.0,2.3302464998030246,0.6697535001969754
3,3,2,2024-11-18,5.0,4.8285214763106,0.17147852368939986
3,3,2,2024-11-25,7.0,6.225688594852916,0.7743114051470839
3,3,2,2024-12-02,7.0,8.159019848043034,1.1590198480430338
3,3,2,2024-12-09,8.0,7.7094080449401705,0.2905919550598295
3,3,2,2024-12-16,7.0,6.062815797870456,0.9371842021295436
3,3,2,2024-12-23,6.0,4.795495032017046,1.2045049679829543
3,3,2,2024-12-30,5.0,3.949725164270223,1.0502748357297769
3,3,2,2025-01-06,3.0,3.144552048765623,0.1445520487656231
3,3,2,2025-01-13,5.0,4.168041164482914,0.8319588355170859
